date,ticker,company,headline,source,url,raw_source,relevance_level,use_in_model,event_type,notes
2026-04-23,AAL,American Airlines,American Airlines reports first-quarter 2026 financial results - American Airlines Newsroom,American Airlines Newsroom,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOUzV0S3FySkxHaGtoMU5fLVp1SFZmaFh5NUlKZk03OUNrUXNYMkp0alIwNlJRME1SdXNoV0VPX09MNS0xTFAzVlVVN3UyaENZUEpqeWEyZ3JzbXd1LUppamE3Ymc5cjl5RjB2QW5pYlJTLWh4UG5Td3pBcFNvSVB2YVRac21CUktQejQ4VlI3MHA4VmlPM1M5QnVEQVVZSWJPVmxXNlpwLVUtWHVuWXU4Zm41X1FhSUttOF96R1BEcEpuendQQVZDYw?oc=5,Google News RSS,noise,no,irrelevant,Anuncio genérico sin número ni dirección. FinBERT no extrae señal.
2026-04-23,AAL,American Airlines,"American Airlines Cuts Guidance, Flags $4 Billion Jet Fuel Hit. Why the Stock Is Rising After Earnings. - Barron's",Barron's,https://news.google.com/rss/articles/CBMihwFBVV95cUxNVTlzREd1bDJNN2JFX25pQnhyNjNBXzlUWW03V1ZHMFZ5N2ZIYm5qaE1CZ1RMVDY0MlA4c251V1p3X3U5TnJ1d2FpeTZMc1ctbm5tZkQ2SnF5dzY0RHJ0SU5WVG5SRnBkdHVycUlzUDM4djVFbzRCM3hqbmRtZGtoTWFUVXFCenM?oc=5,Google News RSS,direct,no,fuel_cost,"LEAKAGE: headline contiene ""Why the Stock Is Rising After Earnings"" — revela retorno posterior al evento."
2026-05-15,AAL,American Airlines,"Airlines tackle fuel cost surge with price hikes, outlook cuts - Reuters",Reuters,https://news.google.com/rss/articles/CBMivAFBVV95cUxPcVFyT1VQMXJxcEpmZmlhSHBuVVRCQ2NNajF3SHV3R1I5Yk9TNUZScUVzZmlCYmt6dXAyREVVRzRLRklvVFVBY3J4aGo1NHUyellvZkNscFRRZlF6QkxyaDFpRVk5eEg5ZGYtTi1UTFJyeHBmdUl0Zk4xWGR5bzE1VnVxLTEzOEFFTE9wZzYyMWNXNUw5MkJRMXhRQjJtUVhMMG1HRGRMMmFJZ0NYUzloNTJOWDBSTk5CRXBVRA?oc=5,Google News RSS,sector,yes,fuel_cost,"Artículo sectorial Reuters: ""Airlines"" plural — ninguna aerolínea específica nombrada en headline."
2026-04-23,AAL,American Airlines,"American Airlines Tops Views, Cuts Outlook On $4 Bil Fuel Cost Hit - Investor's Business Daily",Investor's Business Daily,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOZDJxUktLN0dqZW1LR29WTmZ1RU52ek1UNXRVSERuYlVxVTZrZGRYWlE0d0dPQlphYWxObW9helE2a3RUUGlodU1jUlM2MlRxM2FYY1hHUEZZX2I4MlVaLWdOd0RnaFRtN3hYYm90U2l1VndBQ0FieEpDNzFqUGFpN2ZXdlBDT3ZNQzI1Rk1QWXBGRXVTVjFxVzFWbExFZTg1RnJNbHpFOXhYNWNKUzhEc1JrdS03VlRVaVZXY1hEWTZSdw?oc=5,Google News RSS,direct,yes,fuel_cost,AAL nombrada. Señal doble: beat de estimados + guidance cut por fuel. Cuantificado: $4 Bil.
2026-04-23,AAL,American Airlines,American Airlines Cuts 2026 Profit Guidance on High Jet Fuel Prices - Skift,Skift,https://news.google.com/rss/articles/CBMikgFBVV95cUxNb0VnUl9zd3NQTTRfX09GVEFxZGdEOTNfZzJpbkxJcUtmNUpUbW1JU1JsTkkyV0czX21UaDBaRkhELUptdy00bmZ1eHUySGZHNjZBR2UwdUV1U05qMUJmTzlGcVVpbGotY1hXOElnS3M0ZGZqdExTWHFhYmJLb2lYTGlFemg0dTJwS1RMZVlZcEVfQQ?oc=5,Google News RSS,direct,yes,fuel_cost,"AAL nombrada. Driver explícito de guidance cut: ""High Jet Fuel Prices""."
2026-03-17,AAL,American Airlines,"Airlines raise revenue guidance despite rising fuel costs, citing growth in demand - CNBC",CNBC,https://news.google.com/rss/articles/CBMidEFVX3lxTFBDR1V3Q3VsVkNiYzNBcVpKVXFuOWVTVzJ0d3daNGkwZ0tCNUNQLUFBS2NuZ09QVHZoTlM5akVLcWtqNHpqY0p5S3JlLU5DVHF5R05yYlFBVHFLNkliUjhYRTVOS044TkptbjREa3R3bnB2MUV40gF6QVVfeXFMUFdmd3Y4ZmlpTEFKRGE5dFZrYUhYT3NTc3JMQXN3NWNDS3RockpacEdUSDlGdDJjYzljMDA5Mzc4NXJ5UHpuRzNPbTVzN2V3dUw5MmJfMkRpX2V4MFFsQTBNUFUxMU91VlJfazc2aG1fdFJLMnJnTUQyZFE?oc=5,Google News RSS,sector,yes,guidance,"Artículo sectorial CNBC: ""Airlines"" plural. Acción: alza de revenue guidance pese a fuel. Sin nombrar a AAL."
2026-04-23,AAL,American Airlines,American Airlines says soaring price of jet fuel will cost it $4bn this year - The Guardian,The Guardian,https://news.google.com/rss/articles/CBMimwFBVV95cUxPTWlWT21ZanJlOTFjRTc2dHBwb3Y0NVdKLVNqNEx5ZW9HdUNEbXdNcXRUUGNPdzhzV3Y5am5KZVRmTDhjX2pnblV6Z3VCaFp0SHRucDY2TWxXUW1KRm9SLS1QUlA1SF90WUdPVFRwQ185RjAxeXlFdjNpeUMydmUtUlE4ODk5dzk1RXRlSmpwdjRFdVNWVlB4TktOcw?oc=5,Google News RSS,direct,yes,fuel_cost,AAL nombrada directamente. Impacto cuantificado: $4bn en costo de combustible este año.
2026-04-23,AAL,American Airlines,"AAL Q1 Deep Dive: Premium Product and Loyalty Drive Revenue, Guidance Cut on Fuel and Cost Pressures - TradingView",TradingView,https://news.google.com/rss/articles/CBMi8AFBVV95cUxPNTVyYThJOGdlUl9lNENRVjltNWhRSml2NGVfLVNhRkJTWUlqNmNRNWtQRzZBTWU0Q25Zd0VmaXhlUlZSQzEtY0UtY1lpd195Q2tpa1c5Ti1sVm00cEx6SWFPWW5UcmtnSXNiSUJ4NkhialFjWUZvUTJhWTBVUTNrOHktTFpDQ0lrRHJsQ1FOMWdYUXJoZkp0RklaRnBCY1JqYW9JZDlsckZRT2xRWVZBbV9ON0RTNWhMNDFuVUZyUnlmcnhuMjFicmFWMm5Sb0dFNlAyYW15bkUxNkRKYUw0enBGOTBBTmRyVk1pR2hJSGo?oc=5,Google News RSS,direct,yes,earnings,"AAL nombrada. Deep dive Q1: premium revenue, loyalty, guidance cut por fuel y costos."
2026-04-23,AAL,American Airlines,American Airlines cuts profit outlook after Iran war spikes fuel prices - Washington Examiner,Washington Examiner,https://news.google.com/rss/articles/CBMitAFBVV95cUxORlFMclV5SlFuRHNSTXFaTUJwdTVVZVBfVEF5UW1yTWt0VmZGQ0pXbkNrdnVLUlk2LXVtRWNjZmwtc2FQNEFicE8wUmd6bGhiZXhzSVVhLWhzOF90bGRIZXJsSmFsQk1SUTdVb0xZRTdJN0hMSUx4eFpUWktUdXM1b2pXTzFJMGVXZEdDSi1TRVhNRFBscGN2eFNKNWY3WlJ0d2U4bndpMWRlRWNMZXB1Q0lOOTk?oc=5,Google News RSS,direct,yes,guidance,AAL nombrada. Acción: corte de profit outlook (forward-looking). Driver: guerra de Irán → fuel.
2026-05-20,DAL,Delta Airlines,Berkshire Hathaway Picks a Massive $2 Billion Stake in Delta Air Lines - TIKR.com,TIKR.com,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNaFZXYjBBUy0wYWl3MU1Xd05DbU4wbzcycDJvR2pkekpJbEFQZlMzWUJmZGxVXzBEN1ExVVhySkU5WUdweTM5NHNqZnZhYjdRUnFNUnlZNHBrQkpwNThGOTlacGVQLTh1NVhyNEFqcUxCSkFKQ1NVVUU5aWFlcGZ3TmdyWkp4dU5uMTZqOU9tSjEzT01ubmVINXpFc3dsRWdzNjhKMU1YbDA?oc=5,Google News RSS,direct,yes,institutional_investment,DAL nombrada directamente. Berkshire toma participación de $2B — mayor evento de señal institucional del dataset.
